StationID	Date	Hour	Observation	GSM0p50	GFS	IFS
48455	2017100512	12	18.9	22.9	22	29
48455	2017100612	12	0	14.4	23.9	10.5
48455	2017100712	12	12	12.5	9.3	11.2
48455	2017100812	12	0	25.8	30.8	10.2
48455	2017100912	12	0	14.1	20.7	5.5
48455	2017101112	12	19.5	16.7	0.1	10.3
48455	2017101212	12	0	14.4	0.9	5.4
48455	2017101312	12	22	29.7	20.9	14.8
48455	2017101412	12	166.9	15.2	4.2	8.2
48455	2017101512	12	2.1	10.1	1.4	25.1
48455	2017101612	12	0	1.7	10.6	8.9
48455	2017101712	12	49	4.7	14	17.1
48455	2017101812	12	14	5	22.6	23.3
48455	2017101912	12	0	10.2	7.2	6
48455	2017102012	12	1	13.7	12.1	20.5
48455	2017102112	12	55	8.4	10.8	7.8
48455	2017102212	12	60.1	6.5	5	4
48455	2017102312	12	9.9	12.1	18.2	8.7
48455	2017102412	12	40	10.6	14.7	20.1
48455	2017102512	12	5	3.9	9.7	0.8
48455	2017102812	12	0	0	2.8	0.3
48455	2017102912	12	0	0	5.3	0
48455	2017103012	12	0	0	0	0
48455	2017103112	12	0	0	0	0
48455	2017110112	12	0	0	5.5	2.6
48455	2017110212	12	0	0	5.1	1
48455	2017110312	12	0	0	0.4	0
48455	2017110412	12	0	0	0	0
48455	2017110512	12	0.2	0	0	0
48455	2017110612	12	0.1	5.1	3.9	1.1
48455	2017110712	12	0	0	0.4	0
48455	2017110812	12	0	0.5	17	0.5
48455	2017110912	12	0	3.8	3.1	2.6
48455	2017111012	12	0	7.3	0.3	3.3
48455	2017111112	12	8	7.6	5.9	7.2
48455	2017111212	12	0	5.9	10.6	0.2
48455	2017111312	12	0	2.1	5	11.4
48455	2017111412	12	0	2.6	7.9	0.1
48455	2017111512	12	0	1.2	21.2	0.3
48455	2017111712	12	0	8.5	0.3	3.1
48455	2017111812	12	0	2.3	0.3	0.3
48455	2017111912	12	5	2.2	6	2.8
48455	2017112012	12	30	7.4	34.9	8.9
48455	2017112112	12	0	3.1	8.7	25.4
48455	2017112212	12	0	8.9	14.5	0.6
48455	2017112512	12	0	0	0	0
48455	2017112612	12	0	0	0	0
48455	2017112712	12	0	0	0.3	0
48455	2017112812	12	0	0	0	0
48455	2017112912	12	0	0	0	0
48455	2017113012	12	0	1.8	0	0.3
48455	2017120112	12	0	1.8	0.1	0
48455	2017120212	12	0	0	0.5	0
48455	2017120312	12	0	0	0	0
48455	2017120412	12	0	0	0.7	0
48455	2017120512	12	0	0	3.3	0.2
48455	2017120612	12	0	0	0	0
48455	2017120712	12	0	0	0	0
48455	2017120812	12	0	0	0	0.1
48455	2017120912	12	0	0	0.3	0
48455	2017121012	12	0	0	0	0
48455	2017121112	12	0	0	0	0
48455	2017121212	12	0	0	0	0.2
48455	2017121312	12	4	0	2.2	0.9
48455	2017121412	12	30	0	8	0.9
48455	2017121512	12	0	0	7.2	0.5
48455	2017121612	12	0.3	0	0	0
48455	2017121712	12	0	0.1	0	0
48455	2017121812	12	0	0	0	0
48455	2017121912	12	0	0	0	0
48455	2017122012	12	0	0	0	0
48455	2017122112	12	0	0	0	0
48455	2017122212	12	0	0	0	0
48455	2017122312	12	0	0	0	0
48455	2017122412	12	0	0	0	0
48455	2017122512	12	0	0	0	0
48455	2017122612	12	2.1	0.7	10.2	2.2
48455	2017122712	12	14	3.2	16	8.1
48455	2017122812	12	1	0	0.2	3.9
48455	2017122912	12	0	0	0	0
48455	2017123112	12	0	0	0	0
48894	2017070512	12	5	2.8	2.5	9.2
48894	2017070612	12	0	5.6	3.9	4.8
48894	2017070712	12	2	6.5	1.7	9.8
48894	2017070812	12	0	14.9	5.4	11.3
48894	2017070912	12	0	0.4	5.3	14
48894	2017071012	12	4	1	3.6	14.4
48894	2017071112	12	0.5	6.9	2.6	7.5
48894	2017071212	12	9	12.5	2.4	26.4
48894	2017071312	12	0	10.5	2.5	18.3
48894	2017071412	12	0.2	9.8	6.8	22.4
48894	2017071512	12	0	11.9	6.3	16
48894	2017071712	12	14	11.4	2	12.9
48894	2017071812	12	16	11.1	11.2	13.6
48894	2017072012	12	27	1.4	0.2	11.8
48894	2017072112	12	7	11	5.6	12.1
48894	2017072212	12	2	3.3	4.1	7.2
48894	2017072312	12	0	2.6	6.5	9.5
48894	2017072412	12	2	14.5	16.1	22.5
48894	2017072512	12	3	15	11.9	20.6
48894	2017072612	12	5	9.6	11.9	11
48894	2017072812	12	0	5	13.6	7.4
48894	2017072912	12	2	5.1	2.8	5.9
48894	2017073012	12	0.7	9	2.2	6.4
48894	2017073112	12	2	4	7.7	11.1
48894	2017080112	12	2	2.2	9.9	9.9
48894	2017080212	12	4	5	7.5	7.2
48894	2017080312	12	8	6.6	12.4	14.6
48894	2017080412	12	9	11.1	12.5	13
48894	2017080512	12	26	3.4	12.1	14.1
48894	2017080612	12	0	8.3	12.3	13.7
48894	2017080712	12	0	3	14	3.6
48894	2017080812	12	0	0.5	3	3.1
48894	2017080912	12	0.2	0.1	2.1	11.4
48894	2017081012	12	13	0	8.2	2
48894	2017081112	12	9	1	0.1	9
48894	2017081212	12	0	6.8	11.9	2.6
48894	2017081312	12	0.7	2.8	10.6	7.9
48894	2017081412	12	63	1.8	6.5	13.8
48894	2017081512	12	3	4.4	5.6	5.6
48894	2017081612	12	1	4.2	27.1	7.5
48894	2017081712	12	0	11	12.5	3.2
48894	2017081812	12	7	12.1	27.1	11.8
48894	2017081912	12	2	14	9.3	10
48894	2017082012	12	0	4.5	16.6	7.3
48894	2017082112	12	0	4.2	6.7	9.5
48894	2017082312	12	21	7.8	13.5	13.2
48894	2017082412	12	0	9.3	16.1	8.5
48894	2017082512	12	0	12.8	12.7	7.1
48894	2017082612	12	3	12	12.5	19.3
48894	2017082712	12	29	10	14.3	15.6
48894	2017082812	12	0	2.7	19.2	18.3
48894	2017082912	12	0	7.5	12.5	1.6
48894	2017083012	12	0	0.8	8.5	5.3
48894	2017083112	12	0	0.5	0.9	0.3
48894	2017090112	12	37	7.5	1.3	12
48894	2017090212	12	0.3	6.8	9.4	2.4
48894	2017090312	12	0	1.3	2.2	0.9
48894	2017090412	12	0	4.3	8.4	2.5
48894	2017090512	12	0	1.4	5.2	3
48894	2017090612	12	0	0.7	8.5	4.2
48894	2017090712	12	0	0.9	5.9	2.3
48894	2017090812	12	0	1.1	0.5	2.1
48894	2017090912	12	0	1.6	0	9.5
48894	2017091012	12	0	7.7	2	4.5
48894	2017091112	12	19	3.1	4.1	2.8
48894	2017091212	12	0	7.6	8.1	7.2
48894	2017091312	12	0	24.5	10.2	3.2
48894	2017091412	12	75	21.3	21.8	8.5
48894	2017091512	12	0	10.3	14.6	8.9
48894	2017091612	12	14	7.8	11.5	11.1
48894	2017091712	12	0	7.5	14.8	19.5
48894	2017091812	12	70	1.5	23.6	4
48894	2017091912	12	18	7.8	0.2	10.1
48894	2017092012	12	12	11.5	18.5	9
48894	2017092112	12	18	2.3	13.7	11.8
48894	2017092212	12	30	13.5	18.4	20.5
48894	2017092312	12	0.3	12.2	35.3	22.3
48894	2017092412	12	6	7.7	49.3	8.9
48894	2017092512	12	0	13.2	17.5	6.4
48894	2017092912	12	0	15.6	8.5	12.6
48894	2017093012	12	83	5	16.2	18.7
48894	2017100112	12	36	10.6	18.9	5.8
48894	2017100212	12	86	18.2	12	15.5
48894	2017100312	12	11	21.1	23	31.2
48894	2017100412	12	0	14.2	21	12.4
48894	2017100512	12	18	6.2	8.1	1.4
48894	2017100612	12	26	5.8	7.5	9
48894	2017100712	12	23	9.8	37.6	4.1
48894	2017100812	12	0	3.2	9.5	5.9
48894	2017100912	12	5	3.5	7.8	1.2
48894	2017101012	12	0	10.7	3	2.8
48894	2017101112	12	0.3	4.4	6.6	6.8
48894	2017101212	12	15	1.3	20.6	12.3
48894	2017101312	12	38	9.2	37.7	13.1
48894	2017101412	12	84	18	27.7	8.3
48894	2017101612	12	1	8.4	12	5.9
48894	2017101712	12	13	11	7.5	16.9
48894	2017101812	12	15	8	1.6	13.8
48894	2017101912	12	37	22.8	20.2	14.9
48894	2017102012	12	0.8	15.5	23.7	5.7
48894	2017102112	12	17	16	31.3	4.3
48894	2017102212	12	0.2	17	21.8	8.6
48894	2017102312	12	0	23.3	17.3	10.5
48894	2017102412	12	0	7	13.3	34.3
48894	2017102512	12	0	4.9	1.5	0.4
48894	2017102612	12	0	9.4	5.5	2.5
48894	2017102712	12	0	18.6	8.3	8.6
48894	2017102812	12	0	9	26.8	0.3
48894	2017102912	12	0	0.5	0	1.4
48894	2017103012	12	0	0.1	0.4	0
48894	2017103112	12	0	3.3	5.6	5.3
48894	2017110112	12	0.2	16.3	14.3	10
48894	2017110212	12	0	9	7.7	9
48894	2017110312	12	0	16.7	6	0.9
48894	2017110412	12	3	21.4	5.6	30.4
48894	2017110512	12	1	2.3	28.1	28.5
48894	2017110612	12	0	5.4	0	3.4
48894	2017110712	12	0	16.1	0	3.6
48894	2017110812	12	2	11.1	17.7	5
48894	2017110912	12	3	1.9	0	2.1
48894	2017111012	12	0	7.1	7.9	4.1
48894	2017111112	12	0	7	4.8	8.2
